parameter,kpi,base_value,min_value,max_value,slope,normalized_sensitivity,elasticity,r_squared,p_value,std_err,abs_sensitivity
task_interval,collisions,3,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
task_interval,tasks_completed,3,2.0,6.0,-1.3333333333333335,-0.2448979591836735,-0.2448979591836735,1.0,9.003163161571059e-11,0.0,0.2448979591836735
task_interval,avg_execution_time,3,2.0,6.0,0.09877839631129115,0.03397551138704316,0.03397551138704316,0.5833428906754163,0.4466934502510776,0.0834813405847903,0.03397551138704316
task_interval,avg_total_time,3,2.0,6.0,-4.874503968253969,-0.38269739142274606,-0.38269739142274606,0.9781901961806544,0.0943620629830289,0.7278546399575435,0.38269739142274606
task_interval,avg_distance,3,2.0,6.0,0.1767768780926673,0.030705380982129656,0.030705380982129656,0.6469826333834531,0.4050249965867482,0.13058015619340357,0.030705380982129656
task_interval,cpu_runtime,3,2.0,6.0,-0.08723958333333331,-0.19914134742404227,-0.19914134742404227,0.9166212904982304,0.18648175142334963,0.026311535705256368,0.19914134742404227
total_tugs,collisions,4,5.0,15.0,1.1102230246251566e-18,3.996802888650564e-17,3.996802888650564e-17,8.320017359752861e-34,1.0,0.03849001794597505,3.996802888650564e-17
total_tugs,tasks_completed,4,5.0,15.0,0.30000000000000004,0.054271356783919596,0.054271356783919596,0.9959016393442625,0.04078329453683389,0.019245008972987143,0.054271356783919596
total_tugs,avg_execution_time,4,5.0,15.0,0.021484287317620778,0.0098234224396354,0.0098234224396354,0.1832860400897229,0.7183526861132691,0.04535145730180159,0.0098234224396354
total_tugs,avg_total_time,4,5.0,15.0,-2.432082697686245,-0.31519289099616504,-0.31519289099616504,0.8141817113042323,0.2837251012705362,1.1618816552842293,0.31519289099616504
total_tugs,avg_distance,4,5.0,15.0,0.049365881032547784,0.01143300521586446,0.01143300521586446,0.4214952897809313,0.550185303832926,0.05783409966584648,0.01143300521586446
total_tugs,cpu_runtime,4,5.0,15.0,0.7135416666666667,0.40814299900695133,0.40814299900695133,0.756021506473586,0.3288888340152579,0.4053480014935498,0.40814299900695133
simulation_time,collisions,100,100.0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
simulation_time,tasks_completed,100,100.0,150.0,0.13333333333333328,0.6593406593406589,0.6593406593406589,0.8595988538681948,0.24450954794437427,0.053886025124365064,0.6593406593406589
simulation_time,avg_execution_time,100,100.0,150.0,0.003921577735516344,0.0457178641601495,0.0457178641601495,0.5834874393385894,0.4466001197444002,0.003313287514349281,0.0457178641601495
simulation_time,avg_total_time,100,100.0,150.0,-0.14134523809523822,-0.3926061868624245,-0.3926061868624245,0.9335399536695268,0.16599411772156014,0.03771334436956507,0.3926061868624245
simulation_time,avg_distance,100,100.0,150.0,0.006942021699054948,0.04066618449092552,0.04066618449092552,0.45031297886171234,0.5316840344374418,0.007669843034390311,0.04066618449092552
simulation_time,cpu_runtime,100,100.0,150.0,0.011145833333333334,0.649140546006067,0.649140546006067,0.999272663796113,0.017171189699750063,0.000300703265202951,0.649140546006067
alpha,collisions,1,0.8,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alpha,tasks_completed,1,0.8,1.2,-2.500000000000001,-0.1442307692307693,-0.1442307692307693,0.7500000000000003,0.333333333333333,1.4433756729740639,0.1442307692307693
alpha,avg_execution_time,1,0.8,1.2,-0.20324248120300767,-0.023617617721066318,-0.023617617721066318,0.020396545178463524,0.9087682622901742,1.408514545992883,0.023617617721066318
alpha,avg_total_time,1,0.8,1.2,2.234623015873024,0.05088187724196524,0.05088187724196524,0.8447566462848612,0.25782447723693014,0.9579546877179235,0.05088187724196524
alpha,avg_distance,1,0.8,1.2,-0.39519755270529094,-0.02315207818306228,-0.02315207818306228,0.0346734469204079,0.8807602899203681,2.085224716339153,0.02315207818306228
alpha,cpu_runtime,1,0.8,1.2,-0.4947916666666665,-0.3810160427807486,-0.3810160427807486,0.9154691462383773,0.18780419829885592,0.15035163260146472,0.3810160427807486
beta,collisions,1,0.8,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
beta,tasks_completed,1,0.8,1.2,7.500000000000003,0.45302013422818804,0.45302013422818804,0.9959016393442627,0.04078329453683279,0.48112522432466576,0.45302013422818804
beta,avg_execution_time,1,0.8,1.2,-4.638014562550167,-0.5065685279452706,-0.5065685279452706,0.7765215340538156,0.3134664906783747,2.4881307395545913,0.5065685279452706
beta,avg_total_time,1,0.8,1.2,-30.479497354497404,-0.7015086075671911,-0.7015086075671911,0.4802759688051218,0.5125599672182621,31.706534128413093,0.7015086075671911
beta,avg_distance,1,0.8,1.2,0.39473684210526566,0.023305482407407402,0.023305482407407402,0.24303809535712637,0.6718085999880131,0.6966385407520695,0.023305482407407402
beta,cpu_runtime,1,0.8,1.2,0.29947916666666696,0.2321668909825036,0.2321668909825036,0.27305574673090177,0.6499635642424816,0.4886428059547616,0.2321668909825036
gamma,collisions,1,0.8,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
gamma,tasks_completed,1,0.8,1.2,4.166666666666671,0.23885350318471366,0.23885350318471366,0.7500000000000001,0.3333333333333332,2.4056261216234427,0.23885350318471366
gamma,avg_execution_time,1,0.8,1.2,-0.698188997821352,-0.08185661819794043,-0.08185661819794043,0.8188086500832209,0.2799201324504424,0.3284358229603846,0.08185661819794043
gamma,avg_total_time,1,0.8,1.2,6.122685185185192,0.1525958184707288,0.1525958184707288,0.9056636735264356,0.1987454429449571,1.9760500284763542,0.1525958184707288
gamma,avg_distance,1,0.8,1.2,-1.4603758169934715,-0.08625228884432347,-0.08625228884432347,0.8019015911395463,0.29365128403234664,0.7258461685342191,0.08625228884432347
gamma,cpu_runtime,1,0.8,1.2,-0.05208333333333316,-0.03937007874015735,-0.03937007874015735,1.0,9.003163161571059e-11,0.0,0.03937007874015735
